domain,email_count,suggestion,action
gmail.com,20819,whitelist,
umontpellier.fr,7338,whitelist,
orange.fr,6484,whitelist,
wanadoo.fr,5422,whitelist,
amazon.fr,3005,blacklist,
chu-montpellier.fr,2964,whitelist,
paypal.fr,2660,whitelist,
free.fr,2565,whitelist,
hotmail.fr,2021,whitelist,
hotmail.com,1860,whitelist,
eps.e-i.com,1567,blacklist,
cnge.fr,1398,whitelist,
ebay.fr,1263,whitelist,
ebay.com,1134,whitelist,
jcampagnac.fr,1107,whitelist,
cvlexperts.fr,988,whitelist,
yahoo.fr,864,whitelist,
email.apple.com,784,blacklist,
facebookmail.com,695,blacklist,
vinted.fr,681,blacklist,
members.ebay.fr,630,blacklist,
mondialrelay.fr,625,blacklist,
fmcaction.org,558,blacklist,
e.omnidoc.fr,518,blacklist,
booking.com,514,blacklist,
neogeo-system.com,457,blacklist,
tradera.com,395,blacklist,
doodle.com,372,blacklist,
overcome.fr,351,whitelist,
cvl-experts.fr,350,whitelist,
club-internet.fr,346,whitelist,
edf.fr,333,blacklist,
uber.com,333,blacklist,
mssante.fr,327,whitelist,
crypto.com,316,blacklist,
diffusion.dgs-urgent.sante.gouv.fr,315,vip,
accounts.google.com,314,blacklist,
e.zavvi.com,297,blacklist,
fnac.com,296,blacklist,
researchgatemail.net,292,blacklist,
unistra.fr,270,whitelist,
lettre.egora.fr,262,blacklist,
notif-colissimo-laposte.info,256,blacklist,
itunes.com,235,blacklist,
urpslrmp.org,233,blacklist,
airbnb.com,209,blacklist,
msn.com,201,whitelist,
chronopost.fr,199,blacklist,
accounts.nintendo.com,198,blacklist,
members.ebay.com,196,blacklist,
chu-nimes.fr,195,whitelist,
mail.paypal.fr,194,blacklist,
etu.umontpellier.fr,193,whitelist,
e.paypal.fr,188,blacklist,
priceminister.com,188,blacklist,
arapl-lr.org,184,blacklist,
lafraise.com,183,blacklist,
univ-brest.fr,183,whitelist,
aphp.fr,182,whitelist,
microsoft.com,178,whitelist,
renater.fr,178,whitelist,
uness.fr,178,whitelist,
mail.fr.shopping.rakuten.com,175,blacklist,
mailer.netflix.com,172,blacklist,
weda.fr,171,blacklist,
sfr.fr,168,whitelist,
emailing.maileva.com,163,blacklist,
googlemail.com,158,whitelist,
orange.com,156,whitelist,
socgen.com,152,blacklist,
mail.instagram.com,152,blacklist,
zenmarket.jp,152,blacklist,
univ-montp1.fr,151,whitelist,
fmfpro.org,151,blacklist,
freetelecom.fr,150,blacklist,
mab-planchon.fr,142,whitelist,
b.linternaute.com,139,blacklist,
fidu.fr,135,whitelist,
google.com,134,whitelist,
icloud.com,133,whitelist,
micromania.fr,131,blacklist,
univ-lorraine.fr,130,whitelist,
newsletter.egora.fr,128,blacklist,
notice.aliexpress.com,127,blacklist,
live.fr,126,whitelist,
steampowered.com,125,blacklist,
lists.sfmg.org,120,blacklist,
madeformed.com,119,blacklist,
sosh.fr,118,blacklist,
trabtek.com,114,blacklist,
laposte.net,113,whitelist,
me.com,113,whitelist,
betaseries.com,112,blacklist,
ups.com,108,blacklist,
omakebooks.com,108,blacklist,
zoom.us,107,blacklist,
newsletters.play.com,105,blacklist,
bankin.com,105,blacklist,
services.carrefour.fr,105,blacklist,
googlegroups.com,103,whitelist,
tamashiinations.fr,103,blacklist,
urssaf.fr,100,blacklist,
linkedin.com,100,blacklist,
labosud.fr,100,blacklist,
icm.unicancer.fr,99,whitelist,
welcome.americanexpress.com,99,blacklist,
univ-rouen.fr,96,whitelist,
ville-montpellier.fr,94,whitelist,
mipih.fr,94,whitelist,
vidal.fr,92,whitelist,
dell.com,92,blacklist,
m.perfectdraft.com,92,blacklist,
sfmg.org,91,blacklist,
visitor.koelnmesse.de,91,blacklist,
bnpparibas.com,90,blacklist,
trombi.com,89,blacklist,
paybyphone.fr,87,blacklist,
dgfip.finances.gouv.fr,86,vip,
bp06.net,85,blacklist,
sg.booking.com,84,blacklist,
gamopat-forum.com,84,blacklist,
info.urssaf.fr,84,blacklist,
youtube.com,83,blacklist,
welcome.aexp.com,77,blacklist,
egora.fr,76,blacklist,
tesla.com,76,blacklist,
relaiscolis.com,73,blacklist,
carrefour.com,71,blacklist,
chu-bordeaux.fr,71,whitelist,
sante-ra.fr,71,whitelist,
eservices-laposte.fr,69,blacklist,
unicaen.fr,69,whitelist,
insideapple.apple.com,67,blacklist,
outlook.fr,67,whitelist,
info-flyingblue.com,67,blacklist,
plexus-sante.fr,67,blacklist,
crm.sumup.com,66,blacklist,
twitter.com,65,blacklist,
omnidoc.fr,65,blacklist,
venteprivee.com,64,blacklist,
apple.com,64,blacklist,
h2mw.eu,64,blacklist,
asalee.fr,64,blacklist,
starlink.com,64,blacklist,
eprizefulfillment.com,62,blacklist,
resip.fr,62,blacklist,
amazon.com,61,blacklist,
blizzard.com,61,blacklist,
darty.com,61,blacklist,
chu-brest.fr,60,whitelist,
forumactif.com,59,blacklist,
e.microsoft.com,59,whitelist,
relation-clients-edf.fr,58,blacklist,
proton.me,58,whitelist,
cn.medecin.fr,57,whitelist,
bouygues-telecom.fr,57,whitelist,
nespresso.com,56,blacklist,
bouyguestelecom.fr,56,whitelist,
plus.google.com,55,blacklist,
email.blizzard.com,55,blacklist,
web.micromania.fr,55,blacklist,
synologynotification.com,55,blacklist,
silae.fr,55,whitelist,
mailing.ordre.medecin.fr,55,whitelist,
e.allposters.com,54,blacklist,
link-tothepast.com,54,blacklist,
email.meta.com,53,blacklist,
chu-reims.fr,53,whitelist,
geforce.com,52,blacklist,
contactclient-edf.fr,52,blacklist,
ryckman-avocats.fr,51,whitelist,
suivi.micromania.fr,51,blacklist,
groupebps.fr,51,whitelist,
eatsushi.fr,50,blacklist,
cifa02k.espmp-aufr.net,50,blacklist,
agencedpc.fr,50,blacklist,
newsletter.2k.com,50,blacklist,
github.com,50,blacklist,
carmf.fr,48,whitelist,
dgs-urgent.sante.gouv.fr,48,whitelist,
aviitam.com,47,blacklist,
em.blizzard.com,47,blacklist,
secretlab.co,47,blacklist,
wetransfer.com,46,blacklist,
infos.orange.fr,46,blacklist,
marketing.xmind.ai,45,blacklist,
fr.tomtommailer.com,44,blacklist,
e.transavia.com,44,blacklist,
mailing.opcoep.fr,44,blacklist,
bcom.groupebps.fr,44,blacklist,
editionspixnlove.com,43,blacklist,
sogico.com,43,blacklist,
2dcom.eu,43,blacklist,
montpellier.fr,43,whitelist,
sharepointonline.com,42,blacklist,
lcdjapon.net,42,blacklist,
ensante.fr,42,whitelist,
maaf.fr,41,blacklist,
e.helloworldmail.com,41,blacklist,
info.paypal.fr,40,blacklist,
